bins,aff
9,4.173157120153469
10,2.9439888750737717
10,2.8369567370595505
9,2.7649229846498886
10,2.7520484478194387
9,2.751279103983342
10,2.737987326333431
10,2.73559889969818
9,2.705007959333336
10,2.6875289612146345
9,2.6848453616444123
9,2.6848453616444123
9,2.6665179805548807
10,2.663700925389648
10,2.660865478003869
9,2.6473829701146196
7,2.6434526764861874
9,2.6364878963533656
10,2.6273658565927325
10,2.6138418218760693
10,2.6074550232146687
10,2.6053050461411096
9,2.6020599913279625
9,2.5998830720736876
9,2.5998830720736876
9,2.5998830720736876
10,2.5921767573958667
9,2.591064607026499
10,2.5899496013257077
10,2.5877109650189114
10,2.584331224367531
10,2.583198773968623
10,2.582063362911709
9,2.5809249756756194
8,2.5646660642520893
9,2.561101383649056
9,2.5599066250361124
10,2.5575072019056577
10,2.5575072019056577
10,2.5538830266438746
9,2.5514499979728753
10,2.5490032620257876
9,2.545307116465824
9,2.531478917042255
9,2.531478917042255
10,2.5276299008713385
9,2.526339277389844
9,2.5211380837040362
10,2.519827993775719
9,2.519827993775719
8,2.507855871695831
10,2.507855871695831
10,2.5024271199844326
10,2.496929648073215
10,2.4955443375464483
9,2.4955443375464483
9,2.4955443375464483
7,2.4913616938342726
10,2.484299839346786
10,2.481442628502305
9,2.4742162640762553
10,2.4742162640762553
9,2.4683473304121573
9,2.4638929889859074
9,2.4638929889859074
10,2.45178643552429
9,2.450249108319361
9,2.450249108319361
9,2.450249108319361
9,2.44870631990508
8,2.4471580313422194
10,2.436162647040756
10,2.436162647040756
9,2.436162647040756
9,2.4313637641589874
9,2.4313637641589874
10,2.428134794028789
8,2.428134794028789
10,2.423245873936808
10,2.423245873936808
9,2.4216039268698313
9,2.419955748489758
9,2.4149733479708178
9,2.41161970596323
10,2.41161970596323
10,2.4082399653118496
9,2.406540180433955
10,2.403120521175818
10,2.401400540781544
9,2.401400540781544
9,2.399673721481038
9,2.3944516808262164
10,2.392696953259666
9,2.392696953259666
9,2.392696953259666
9,2.3909351071033793
9,2.3891660843645326
9,2.3891660843645326
10,2.385606273598312
9,2.3820170425748683
10,2.380211241711606
10,2.3783979009481375
9,2.376576957056512
9,2.374748346010104
9,2.3729120029701067
10,2.3729120029701067
9,2.3710678622717363
9,2.369215857410143
9,2.369215857410143
10,2.367355921026019
9,2.3636119798921444
9,2.3636119798921444
10,2.361727836017593
10,2.359835482339888
9,2.357934847000454
9,2.3560258571931225
8,2.3521825181113627
10,2.3502480183341627
10,2.3502480183341627
9,2.3483048630481607
9,2.346352974450639
9,2.3443922736851106
10,2.342422680822206
10,2.342422680822206
10,2.3404441148401185
9,2.3404441148401185
10,2.3384564936046046
9,2.3384564936046046
10,2.3364597338485296
9,2.3364597338485296
10,2.3364597338485296
10,2.3324384599156054
10,2.3324384599156054
10,2.3324384599156054
10,2.3324384599156054
10,2.330413773349191
10,2.330413773349191
9,2.3283796034387376
9,2.3263358609287517
10,2.3263358609287517
9,2.3242824552976926
9,2.322219294733919
