epoch	loss	acc	auc_roc	val_loss	val_acc	val_auc_roc
1	0.6953188180923462	0.4985068440437317	0.49919864535331726	0.6951732039451599	0.5	0.49089574813842773
2	0.6939955949783325	0.49774715304374695	0.4979456067085266	0.6937166452407837	0.49872449040412903	0.4860377311706543
3	0.6928862929344177	0.5062608122825623	0.5114343762397766	0.6934564709663391	0.48341837525367737	0.49010828137397766
4	0.6916157603263855	0.5210352540016174	0.5309225916862488	0.6939142346382141	0.4821428656578064	0.47557660937309265
5	0.6870761513710022	0.5553649067878723	0.5839752554893494	0.695414662361145	0.5089285969734192	0.4909510016441345
6	0.6702629923820496	0.6006575226783752	0.6492710113525391	0.6977932453155518	0.4808673560619354	0.49047595262527466
7	0.6484073996543884	0.6148425340652466	0.6669274568557739	0.7153710126876831	0.4961734712123871	0.484697163105011
8	0.6325754523277283	0.6243385672569275	0.682120144367218	0.7118871808052063	0.47066327929496765	0.4764941334724426
9	0.6207613348960876	0.63579922914505	0.6994212865829468	0.7165107727050781	0.48341837525367737	0.48178166151046753
10	0.6102132201194763	0.6505998969078064	0.7145736217498779	0.7195579409599304	0.48852041363716125	0.48616135120391846
11	0.6001098155975342	0.6595326662063599	0.725074291229248	0.7467814683914185	0.4783163368701935	0.48495417833328247
12	0.5911505818367004	0.667299747467041	0.7340512275695801	0.7325034737586975	0.49744898080825806	0.48975688219070435
13	0.5850111246109009	0.6687929034233093	0.7383642792701721	0.7660002708435059	0.48469388484954834	0.47876861691474915
14	0.5795744061470032	0.6739010810852051	0.7435249090194702	0.7563942074775696	0.48852041363716125	0.48586201667785645
15	0.5748854875564575	0.6776340007781982	0.7476211786270142	0.7751058340072632	0.48852041363716125	0.48075997829437256
16	0.5716267824172974	0.6785115599632263	0.7504163980484009	0.7800668478012085	0.49234694242477417	0.48417001962661743
17	0.5684555172920227	0.6811573505401611	0.7525841593742371	0.8038029670715332	0.4808673560619354	0.4808022677898407
18	0.5671314001083374	0.6824802160263062	0.7531079649925232	0.7623178958892822	0.4961734712123871	0.49336540699005127
19	0.562957763671875	0.6857154369354248	0.7587165832519531	0.7849911451339722	0.5	0.4915562868118286
20	0.5610517263412476	0.685676097869873	0.7600752115249634	0.8084178566932678	0.4897959232330322	0.4930042326450348
21	0.5592973828315735	0.6870775818824768	0.7620216012001038	0.7772817611694336	0.5063775777816772	0.49469295144081116
22	0.5575804710388184	0.6884921789169312	0.7636669874191284	0.7845479249954224	0.4897959232330322	0.4861776530742645
23	0.5553178191184998	0.6892780661582947	0.7664256691932678	0.7734853029251099	0.5012755393981934	0.5006019473075867
24	0.5533958077430725	0.6928406953811646	0.7680752277374268	0.7837454080581665	0.5012755393981934	0.49949565529823303
25	0.5519325733184814	0.6930895447731018	0.7696221470832825	0.7773483991622925	0.5	0.5065239667892456
26	0.5505595207214355	0.692421555519104	0.7712609767913818	0.7920002937316895	0.49234694242477417	0.49724721908569336
27	0.549656331539154	0.6939408779144287	0.7715812921524048	0.7768818736076355	0.48852041363716125	0.49614420533180237
28	0.5477054715156555	0.6958138942718506	0.774333119392395	0.7786058187484741	0.49872449040412903	0.49849021434783936
29	0.5479068160057068	0.6957746148109436	0.7730303406715393	0.7928438782691956	0.4910714328289032	0.4984934628009796
