Model,based,AUC
NetTCR-1.0,Pair-based,0.5336
NetTCR-1.0,Pair-based,0.5457
NetTCR-1.0,Pair-based,0.5359
NetTCR-1.0,Pair-based,0.5446
NetTCR-1.0,Pair-based,0.5232
NetTCR-1.0,TCR-based,0.5307
NetTCR-1.0,TCR-based,0.5388
NetTCR-1.0,TCR-based,0.5348
NetTCR-1.0,TCR-based,0.5272
NetTCR-1.0,TCR-based,0.5210
NetTCR-1.0,Antigen-based,0.4846
NetTCR-1.0,Antigen-based,0.5008
NetTCR-1.0,Antigen-based,0.5076
NetTCR-1.0,Antigen-based,0.5003
NetTCR-1.0,Antigen-based,0.4988
NetTCR-1.0,Strict-based,0.5097
NetTCR-1.0,Strict-based,0.4964
NetTCR-1.0,Strict-based,0.4907
NetTCR-1.0,Strict-based,0.5382
NetTCR-1.0,Strict-based,0.5023
NetTCR-2.0,Pair-based,0.5292
NetTCR-2.0,Pair-based,0.5314
NetTCR-2.0,Pair-based,0.5370
NetTCR-2.0,Pair-based,0.5299
NetTCR-2.0,Pair-based,0.5272
NetTCR-2.0,TCR-based,0.5325
NetTCR-2.0,TCR-based,0.5304
NetTCR-2.0,TCR-based,0.5294
NetTCR-2.0,TCR-based,0.5697
NetTCR-2.0,TCR-based,0.5727
NetTCR-2.0,Antigen-based,0.5031
NetTCR-2.0,Antigen-based,0.5121
NetTCR-2.0,Antigen-based,0.5090
NetTCR-2.0,Antigen-based,0.5091
NetTCR-2.0,Antigen-based,0.5162
NetTCR-2.0,Strict-based,0.5277
NetTCR-2.0,Strict-based,0.5239
NetTCR-2.0,Strict-based,0.5368
NetTCR-2.0,Strict-based,0.5314
NetTCR-2.0,Strict-based,0.5228
ERGO_LSTM,Pair-based,0.5443
ERGO_LSTM,Pair-based,0.5948
ERGO_LSTM,Pair-based,0.5923
ERGO_LSTM,Pair-based,0.5215
ERGO_LSTM,Pair-based,0.5107
ERGO_LSTM,TCR-based,0.5099
ERGO_LSTM,TCR-based,0.5365
ERGO_LSTM,TCR-based,0.5111
ERGO_LSTM,TCR-based,0.5265
ERGO_LSTM,TCR-based,0.4998
ERGO_LSTM,Antigen-based,0.5051
ERGO_LSTM,Antigen-based,0.4873
ERGO_LSTM,Antigen-based,0.5123
ERGO_LSTM,Antigen-based,0.4940
ERGO_LSTM,Antigen-based,0.5031
ERGO_LSTM,Strict-based,0.4984
ERGO_LSTM,Strict-based,0.5165
ERGO_LSTM,Strict-based,0.5392
ERGO_LSTM,Strict-based,0.5463
ERGO_LSTM,Strict-based,0.5033
ERGO_AE,Pair-based,0.5312
ERGO_AE,Pair-based,0.5237
ERGO_AE,Pair-based,0.5445
ERGO_AE,Pair-based,0.5884
ERGO_AE,Pair-based,0.5259
ERGO_AE,TCR-based,0.6137
ERGO_AE,TCR-based,0.5202
ERGO_AE,TCR-based,0.5120
ERGO_AE,TCR-based,0.6348
ERGO_AE,TCR-based,0.6106
ERGO_AE,Antigen-based,0.5161
ERGO_AE,Antigen-based,0.5111
ERGO_AE,Antigen-based,0.5194
ERGO_AE,Antigen-based,0.5056
ERGO_AE,Antigen-based,0.5128
ERGO_AE,Strict-based,0.5391
ERGO_AE,Strict-based,0.5281
ERGO_AE,Strict-based,0.5141
ERGO_AE,Strict-based,0.4912
ERGO_AE,Strict-based,0.4965
DLpTCR,Pair-based,0.5858
DLpTCR,Pair-based,0.6139
DLpTCR,Pair-based,0.6189
DLpTCR,Pair-based,0.6046
DLpTCR,Pair-based,0.6257
DLpTCR,TCR-based,0.6340
DLpTCR,TCR-based,0.5845
DLpTCR,TCR-based,0.5937
DLpTCR,TCR-based,0.5995
DLpTCR,TCR-based,0.6115
DLpTCR,Antigen-based,0.5194
DLpTCR,Antigen-based,0.5292
DLpTCR,Antigen-based,0.5201
DLpTCR,Antigen-based,0.5126
DLpTCR,Antigen-based,0.5020
DLpTCR,Strict-based,0.5127
DLpTCR,Strict-based,0.5075
DLpTCR,Strict-based,0.5085
DLpTCR,Strict-based,0.5095
DLpTCR,Strict-based,0.5095
HeteroTCR,Pair-based,0.7029
HeteroTCR,Pair-based,0.6999
HeteroTCR,Pair-based,0.7038
HeteroTCR,Pair-based,0.6983
HeteroTCR,Pair-based,0.7084
HeteroTCR,TCR-based,0.7177
HeteroTCR,TCR-based,0.7148
HeteroTCR,TCR-based,0.7133
HeteroTCR,TCR-based,0.7159
HeteroTCR,TCR-based,0.7153
HeteroTCR,Antigen-based,0.7024
HeteroTCR,Antigen-based,0.6955
HeteroTCR,Antigen-based,0.7098
HeteroTCR,Antigen-based,0.6988
HeteroTCR,Antigen-based,0.6956
HeteroTCR,Strict-based,0.6611
HeteroTCR,Strict-based,0.6514
HeteroTCR,Strict-based,0.6413
HeteroTCR,Strict-based,0.6566
HeteroTCR,Strict-based,0.6487
