Model,based,AUC
Baseline,Pair-based,0.5493
Baseline,Pair-based,0.5053
Baseline,Pair-based,0.4944
Baseline,Pair-based,0.4916
Baseline,Pair-based,0.4978
Baseline,TCR-based,0.5623
Baseline,TCR-based,0.5090
Baseline,TCR-based,0.5115
Baseline,TCR-based,0.5073
Baseline,TCR-based,0.4794
Baseline,Antigen-based,0.5054
Baseline,Antigen-based,0.5050
Baseline,Antigen-based,0.4883
Baseline,Antigen-based,0.5125
Baseline,Antigen-based,0.5030
Baseline,Strict-based,0.4997
Baseline,Strict-based,0.4981
Baseline,Strict-based,0.5198
Baseline,Strict-based,0.5101
Baseline,Strict-based,0.4909
HeteroTCR,Pair-based,0.7029
HeteroTCR,Pair-based,0.6999
HeteroTCR,Pair-based,0.7038
HeteroTCR,Pair-based,0.6983
HeteroTCR,Pair-based,0.7084
HeteroTCR,TCR-based,0.7177
HeteroTCR,TCR-based,0.7148
HeteroTCR,TCR-based,0.7133
HeteroTCR,TCR-based,0.7159
HeteroTCR,TCR-based,0.7153
HeteroTCR,Antigen-based,0.7024
HeteroTCR,Antigen-based,0.6955
HeteroTCR,Antigen-based,0.7098
HeteroTCR,Antigen-based,0.6988
HeteroTCR,Antigen-based,0.6956
HeteroTCR,Strict-based,0.6611
HeteroTCR,Strict-based,0.6514
HeteroTCR,Strict-based,0.6496
HeteroTCR,Strict-based,0.6566
HeteroTCR,Strict-based,0.6487
